course_id,course_text,label,KA_label
CSCI 140,"This class covers basic techniques used to analyze problems and algorithms (including asymptotics, upper/lower bounds, best/average/worst case analysis, amortized analysis, complexity), basic techniques used to design algorithms (including divide & conquer / greedy / dynamic programming / heuristics, choosing appropriate data structures), and important classical algorithms (including sorting, string, matrix, and graph algorithms). The goal is for students to be able to apply all of the above to designing solutions for real-world problems.","SDF_Algorithms and Design
AL_Basic Analysis
AL_Algorithmic Strategies
AL_Fundamental Data Structures and Algorithms
AL--basic automata computability and complexity
AL--advanced computational complexity
AL--advanced data structures algorithms and analysis
PD--parallel algorithms, analysis, and programming
PD--formal models and semantics
","SDF
AL
PD"
COS 226,"Classical algorithms and data structures, with an emphasis on implementing them in modern programming environments, and using them to solve real-world problems. Particular emphasis is given to algorithms for sorting, searching, string processing, and graph algorithms. Fundamental algorithms in a number of other areas are covered as well, including geometric algorithms and some algorithms from operations research. The course concentrates on developing implementations, understanding their performance characteristics, and estimating their potential effectiveness in applications.
Analysis of algorithms, with an emphasis on using the scientific method to validate hypotheses about algorithm performance.
Data types, APIs, encapsulation.
Linked data structures, resizing arrays, and implementations of container types such as stacks and queues. Sorting algorithms, including insertion sort, selection sort, shellsort, mergesort, randomized quicksort, heapsort.
Priority queue data types and implementations, including binary heaps.
Symbol table data types and implementations (searching algorithms), including binary search trees, red- black trees, and hash tables.
Geometric algorithms (searching in point sets and intersection).
Graph algorithms (breadth-first search, depth-first search, MST, shortest paths, topological sort, strong components, maxflow)
Tries, string sorting, substring search, regular expression pattern matching. Data compression (Huffman, LZW).
Reductions, combinatorial search, P vs. NP, and NP-completeness.
","SDF--Algorithms and Design
PL--Object-oriented programming
SDF--Fundamental Data Structures
AL--Basic Analysis
AL--Algorithmic Strategies
AL--Fundamental Data Structures and Algorithms
AL--Basic Automata, Computability and Complexity
AL--Advanced Automata, Computability and Complexity
AL--Advanced Data Structures and Algorithms
","SDF
PL
AL"
CS 256,"Analysis: asymptotic analysis including lower bounds on sorting, recurrence relations and their solutions. Graphs: directed, undirected, planar, and bipartite.
Greedy Algorithms: shortest paths, minimum spanning trees, and the union-find data structure (including amortized analysis).
Divide and Conquer Algorithms: integer and matrix multiplication, the fast-fourier transform. Dynamic Programming: matrix parenthesization, subset sum, RNA secondary structure, DP on trees. Network Flow: Max-Flow, Min-Cut (equivalence, duality, algorithms).
Randomization: randomized quicksort, median, min-cut, universal hashing, skip lists. String Algorithms: string matching, suffix trees and suffix arrays.
Complexity Theory: Complexity classes, reductions, and approximation algorithms.
","AL--Basic Analysis
AL--Algorithmic Strategies
AL--Fundamental Data Structures and Algorithms
AL--Basic Automata, Computability and Complexity
AL--Advanced Data Structures, Algorithms and Analysis
DS--Discrete Probability
","AL
DS"
CSE332,"The core of this course is fundamental “classical” data structures and algorithms including balanced trees, hashtables, sorting, priority queues, graphs and graph algorithms like shortest paths, etc. The course includes asymptotic complexity (e.g., big-O notation). The course also includes an introduction to concurrency and parallelism grounded in the data structure material. Concurrent access to shared data motivates mutual exclusion. Independent subcomputations (e.g., recursive calls to mergesort) motivate parallelism and cost models that account for time-to-completion in the presence of parallelism.
More general goals of the course include (1) exposing students to non-obvious algorithms (to make the point that algorithm selection and design is an important and non-trivial part of computer science & engineering) and (2) giving students substantial programming experience in a modern high-level programming language such as Java (to continue developing their software-development maturity).
Asymptotic complexity, algorithm analysis, recurrence relations Review of stacks, queues, and binary search trees (covered in CS2) Priority queues and binary heaps
Dictionaries and AVL trees, B trees, and hashtables
Insertion sort, selection sort, heap sort, merge sort, quicksort, bucket sort, radix sort Lower bound for comparison sorting
Graphs, graph representations, graph traversals, topological sort, shortest paths, minimum spanning trees Simple examples of amortized analysis (e.g., resizing arrays)
Introduction to multiple explicit threads of execution Parallelism via fork-join computations
Basic parallel algorithms: maps, reduces, parallel-prefix computations Parallel-algorithm analysis: Amdahl’s Law, work, span
Concurrent use of shared resources, mutual exclusion via locks
Data races and higher-level race conditions Deadlock
Condition variables
","AL--Basic Analysis
AL--Fundamental Data Structures and Algorithms
AL--Advanced Data Structures Algorithms and Analysis
DS--Graphs and Trees
PD--Parallelism Fundamentals
PD--Parallel Decomposition
PD--Communication and Coordination
PD--Parallel Algorithms, Analysis, and Programming
SDF--Fundamental Data Structures
","AL
DS
PD
SDF"
CS/ECE 552,"The goal of the course is to teach the design and operation of a digital computer. It serves students in two ways. First, for those who want to continue studying computer architecture, embedded systems, and other low-level aspects of computer systems, it lays the foundation of detailed implementation experience needed to make the quantitative tradeoffs in more advanced courses meaningful. Second, for those students interested in other areas of computer science, it solidifies an intuition about why hardware is as it is and how software interacts with  hardware.
The subject matter covered in the course includes technology trends and their implications, performance measurement, instruction sets, computer arithmetic, design and control of a datapath, pipelining, memory hierarchies, input and output, and brief introduction to multiprocessors.
The full list of course topics is:
Introduction and Performance Technology trends Measuring CPU performance
Amdahl’s law and averaging performance metrics
Instruction Sets
Components of an instruction set
Understanding instruction sets from an implementation perspective RISC and CISC and example instruction sets
Computer Arithmetic
Ripple carry, carry lookahead, and other adder designs ALU and Shifters
Floating-point arithmetic and floating-point hardware design
Datapath and Control
Single-cycle and multi-cycle datapaths
Control of datapaths and implementing control finite-state machines
Pipelining
Basic pipelined datapath and control
Data dependences, data hazards, bypassing, code scheduling Branch hazards, delayed branches, branch prediction
Memory Hierarchies
Caches (direct mapped, fully associative, set associative) Main memories
Memory hierarchy performance metrics and their use Virtual memory, address translation, TLBs
Input and Output
Common I/O device types and characteristics
Memory mapped I/O, DMA, program-controlled I/O, polling, interrupts Networks
Multiprocessors
Introduction to multiprocessors Cache coherence problem","AR--Introductory Material and Performance
AR--Instruction Set Architecture
AR--Computer Arithmetic
AR--Datapath and Control
AR--Pipelined Datapaths and Control
AR--Memory Hierarchies
AR--Input and Output
AR--Multiprocessors
",AR
CS150,"Design of synchronous digital systems using modern tools and methodologies, in particular, digital logic synthesis tools, digital hardware simulation tools, and field programmable gate array architectures.
Understand the principles and methodology of digital logic design at the gate and switch level, including both combinational and sequential logic elements. Gain experience developing a relatively large and complex digital system. Gain experience with modern computer-aided design tools for digital logic design. Understand clocking methodologies used to control the flow of information and manage circuit state. Appreciate methods for specifying digital logic, as well as the process by which a high-level specification of a circuit is synthesized into logic networks. Appreciate the tradeoffs between hardware and software implementations of a given function.
Appreciate the uses and capabilities of a modern FPGA platform.
","AR--Digital Logic and Digital Systems
AR--Assembly Level Machine Organization
AR--Memory System Organization and Architecture
AR--Interfacing and Communication
AR--Performance Enhancements
",AR
CC152,"Historical Perspectives: RISC vs. CISC, Pipelining, Memory Hierarchy, Virtual Memory, Complex Pipelines and Out-of-Order Execution, Superscaler and VLIW Architecture, Synchronization, Cache Coherency.
The course is intended to provide a foundation for students interested in performance programming, compilers,   and operating systems, as well as computer architecture and engineering. Our goal is for you to better understand how software interacts with hardware, and to understand how trends in technology, applications, and economics drive continuing changes in the field. The course will cover the different forms of parallelism found in applications (instruction-level, data-level, thread-level, gate-level) and how these can be exploited with various architectural features. We will cover pipelining, superscalar, speculative and out-of-order execution, vector machines, VLIW machines, multithreading, graphics processing units, and parallel microprocessors. We will also explore the design of memory systems including caches, virtual memory, and DRAM. An important part of the course is a series of  lab assignments using detailed simulation tools to evaluate and develop architectural ideas while running real applications and operating systems. Our objective is that you will understand all the major concepts used in  modern microprocessors by the end of the semester.","AR--Assembly Level Machine Organization
AR--Memory System Organization and Architecture
AR--Interfacing and Communication
AR--Functional Organization
AR--Multprocessing and Alternative Architecture
AR--Performance Enhancements
",AR
eScience,"eScience’s basic premise is that in addition to the two accepted scientific inquiry methods: theoretical/mathematical formulation and experimentation, computational simulation/modeling has become the third method for doing science. eScience introduces the application of computational methods to scientific exploration and discovery in the social and natural sciences. Both the class and the laboratory include a broad range of well-defined experiments, verified data inputs, predictable/repeatable outcomes, and open questions to be explored. We begin with an Introduction to eScience, Scientific Method, and Models. Thereafter, we have weekly topics including Spread of Epidemics, Spread of Fire, Movement of Ants and Problem Solving, Predator-prey relationships,Altruism/Collaboration/Competition, Economics, Art and Music, Climate Change, E. coli metabolism of lactose, Cancer and Tumors, Games, Complex Systems and Chaos, Networks, and Fractals. Both theory and practice of computational simulation and modeling techniques are examined as tools to support the scientific method. No computer programming knowledge or calculus is required. By popular student demand, Netlogo5 is predominantly used as the modeling tool for this course due to its ease of use and extensive library of relevant models. Such tools have the advantage of embodying principles of a systems approach to non-linear, self-organizing, and emergent phenomena that characterize most interesting problems that societies face today. They also offer a bottom-up approach to problem-solution and experimentation in a non-threatening way that does not require the knowledge of programming. At the same time, these tools also provide more adventurous students with the opportunity to modify the natural language-like computer code to test their own ideas about modeling the societal challenge under consideration.
The first lesson of the week uncovers the nature of the societal problem targeted in that particular knowledge unit. The second lesson of the week offers examples of computer-based simulations and models of the problem. The lessons are followed by a laboratory  session that uses well-defined protocols to guide students through hands-on exploration of computer simulations and models. In the Spring 2013 semester we introduced the use of Audience Response Systems6 (clickers) for quizzes at the end of each lesson or topic; each quiz consisted of four to five questions about the current topic plus one or two review questions from previous topics. We also experimented with “flipped classroom” methods during some of the clicker quizzes. 
Rate of Change, Constrained Growth, Unconstrained Growth and Decay, Drug Dosage, Modeling Falling and Skydiving, Competition, Spread of SARS, Predator-Prey, Errors, Euler's Method, Runge-Kutta Method, Empirical Models, Simulations, Area Through Monte Carlo Simulation, Random Walk, Spreading of Fire, and Movement of Ants. We used Mathematica8 and Vensim9 for lab experiments.
These methods and tools include the science of complexity, the science of networks, fractals, chaos theory, problem solving techniques, and game theory.","CN--Fundamentals
CN--Modeling and Simulation
IS--Agents
","CN
IS"
COSC/MATH 201,"The modeling process
Two system dynamics tool tutorials
System dynamics problems with rate proportional to amount: unconstrained growth and decay, constrained growth, drug dosage
System dynamics models with interactions: competition, predator-prey models, spread of disease models Computational error
Simulation techniques: Euler's method, Runge-Kutta 2 method
Additional system dynamics projects throughout, such as modeling falling and skydiving, enzyme kinetics, the carbon cycle, economics and fishing
Six computational toolbox tutorials Empirical models
Introduction to Monte Carlo simulations Cellular automaton random walk simulations
Cellular automaton diffusion simulations: spreading of fire, formation of biofilms
High-performance computing: concurrent processing, parallel algorithms
Additional cellular automaton simulations throughout such as simulating polymer formation, solidification, foraging, pit vipers, mushroom fairy rings, clouds
","CN--Introduction to Modeling and Simulation
CN--Modeling and Simulation
CN--Processing
CN--Interactive Visualization
GV--Fundamental Concepts
SDF--Development Methods
IS--Agents
SE--Software Design
","CN
GV
SDF
IS
SE"
MAT 267,"This course will develop advanced mathematics skills appropriate for students pursuing STEM studies such as Engineering, Science, Computer Science, and Mathematics. Topics include sets, numbers, algorithms, logic, computer arithmetic, applied modern algebra, combinations, recursion principles, graph theory, trees, discrete probability, and digraphs.","DS--Sets, Relations, Functions
DS--Basic Logic
DS--Proof Techniques
DS--Basics of Counting
DS--Graphs and Trees
DS--Discrete Probability
",DS
